epoch,train_loss,train_map50,train_map50_95,val_loss,val_map50,val_map50_95,lr,epoch_time
1,9.33639,0.00000,0.00000,7.02261,0.00000,0.00000,0.0001,63.99723
2,6.50698,0.00000,0.00000,6.09638,0.00000,0.00000,0.00055,53.74552
3,5.93001,0.00000,0.00000,5.60176,0.00000,0.00000,0.001,50.32163
4,5.44288,0.00000,0.00000,5.86321,0.00000,0.00000,0.001,59.32633
5,4.97890,0.08319,0.02890,4.97497,0.09389,0.03361,0.001,115.48072
6,4.60281,0.08319,0.02890,4.34161,0.09389,0.03361,0.001,53.36506
7,4.20514,0.08319,0.02890,5.07544,0.09389,0.03361,0.001,51.53792
8,4.03626,0.08319,0.02890,4.36690,0.09389,0.03361,0.001,57.57291
9,3.90921,0.08319,0.02890,3.71860,0.09389,0.03361,0.001,51.68106
10,3.67017,0.27944,0.11896,3.76419,0.28432,0.12533,0.001,131.29170
11,3.56309,0.27944,0.11896,4.67006,0.28432,0.12533,0.001,55.92485
12,3.47007,0.27944,0.11896,3.94054,0.28432,0.12533,0.001,56.15852
13,3.29745,0.27944,0.11896,4.16619,0.28432,0.12533,0.001,51.29845
14,3.28211,0.27944,0.11896,4.01265,0.28432,0.12533,0.001,56.88074
15,3.16570,0.39469,0.17937,4.10195,0.26413,0.06446,0.001,141.48235
16,3.03779,0.39469,0.17937,3.34036,0.26413,0.06446,0.001,51.95966
17,3.03000,0.39469,0.17937,3.34202,0.26413,0.06446,0.001,56.30056
18,2.86360,0.39469,0.17937,3.27154,0.26413,0.06446,0.001,50.53380
19,2.85290,0.39469,0.17937,3.48342,0.26413,0.06446,0.001,57.27230
20,2.78498,0.46527,0.21812,3.62921,0.34259,0.10563,0.001,142.75615
21,2.71442,0.46527,0.21812,4.24663,0.34259,0.10563,0.001,56.66307
22,2.65653,0.46527,0.21812,3.15992,0.34259,0.10563,0.001,51.86133
23,2.63076,0.46527,0.21812,3.20446,0.34259,0.10563,0.001,52.76155
24,2.63094,0.46527,0.21812,3.34827,0.34259,0.10563,0.001,56.75554
25,2.58420,0.51042,0.23584,4.43825,0.22021,0.04274,0.001,143.12741
26,2.49528,0.51042,0.23584,3.17333,0.22021,0.04274,0.001,56.36696
27,2.44137,0.51042,0.23584,3.08697,0.22021,0.04274,0.001,57.94623
28,2.45654,0.51042,0.23584,3.86955,0.22021,0.04274,0.001,49.35838
29,2.43455,0.51042,0.23584,3.40059,0.22021,0.04274,0.001,61.34024
30,2.34550,0.56452,0.27638,3.06195,0.49029,0.23675,0.001,147.60673
31,2.24104,0.56452,0.27638,3.12469,0.49029,0.23675,0.001,57.96376
32,2.22250,0.56452,0.27638,3.06194,0.49029,0.23675,0.001,53.45328
33,2.19999,0.56452,0.27638,4.14218,0.49029,0.23675,0.001,54.26775
34,2.18824,0.56452,0.27638,3.67527,0.49029,0.23675,0.001,52.31065
35,2.17427,0.59280,0.29409,3.48076,0.43334,0.13497,0.001,146.38309
36,2.16290,0.59280,0.29409,3.05413,0.43334,0.13497,0.001,55.31484
37,2.06229,0.59280,0.29409,3.24515,0.43334,0.13497,0.001,52.70607
38,2.06216,0.59280,0.29409,2.93881,0.43334,0.13497,0.001,53.65312
39,2.04777,0.59280,0.29409,3.32602,0.43334,0.13497,0.001,48.98380
40,1.99686,0.63463,0.32800,4.44392,0.23263,0.04116,0.001,151.86836
41,2.03901,0.63463,0.32800,3.07429,0.23263,0.04116,0.001,51.93001
42,1.94922,0.63463,0.32800,3.28509,0.23263,0.04116,0.001,52.45172
43,2.00365,0.63463,0.32800,2.94872,0.23263,0.04116,0.001,59.96176
44,1.91110,0.63463,0.32800,3.09933,0.23263,0.04116,0.001,56.89574
45,1.95083,0.63776,0.31859,2.94719,0.49997,0.23045,0.001,149.81950
46,1.86113,0.63776,0.31859,3.08070,0.49997,0.23045,0.001,61.33453
47,1.83216,0.63776,0.31859,2.99968,0.49997,0.23045,0.001,51.07564
48,1.84279,0.63776,0.31859,2.92401,0.49997,0.23045,0.001,54.86104
49,1.77967,0.63776,0.31859,4.52967,0.49997,0.23045,0.001,59.10692
50,1.78371,0.67228,0.35064,3.01571,0.48451,0.22204,0.001,149.86880
51,1.72360,0.67228,0.35064,3.40269,0.48451,0.22204,0.001,57.85882
52,1.69165,0.67228,0.35064,2.83885,0.48451,0.22204,0.001,62.99231
53,1.73496,0.67228,0.35064,3.22701,0.48451,0.22204,0.001,57.51888
54,1.72690,0.67228,0.35064,2.96823,0.48451,0.22204,0.001,58.54307
55,1.75008,0.67416,0.34881,2.93137,0.48929,0.23941,0.001,141.25584
56,1.63718,0.67416,0.34881,2.92332,0.48929,0.23941,0.001,56.41402
57,1.68013,0.67416,0.34881,3.11015,0.48929,0.23941,0.001,51.16886
58,1.60267,0.67416,0.34881,4.98820,0.48929,0.23941,0.001,63.00574
59,1.59641,0.67416,0.34881,3.18256,0.48929,0.23941,0.001,53.12518
60,1.64475,0.69602,0.37231,3.62085,0.44390,0.14053,0.001,144.48953
61,1.43832,0.69602,0.37231,3.54411,0.44390,0.14053,0.0001,54.31356
62,1.31450,0.69602,0.37231,2.98959,0.44390,0.14053,0.0001,57.11436
63,1.32495,0.69602,0.37231,2.85722,0.44390,0.14053,0.0001,54.36071
64,1.24841,0.69602,0.37231,4.06582,0.44390,0.14053,0.0001,58.61598
65,1.25366,0.77137,0.45280,3.11687,0.51171,0.18775,0.0001,151.26412
66,1.26791,0.77137,0.45280,2.65023,0.51171,0.18775,0.0001,57.57129
67,1.28873,0.77137,0.45280,4.48822,0.51171,0.18775,0.0001,58.82169
68,1.21434,0.77137,0.45280,4.46752,0.51171,0.18775,0.0001,57.69340
69,1.24094,0.77137,0.45280,2.78517,0.51171,0.18775,0.0001,55.33819
70,1.24241,0.76855,0.45334,3.04063,0.51519,0.19794,0.0001,148.48198
71,1.18829,0.76855,0.45334,2.70362,0.51519,0.19794,0.0001,54.21866
72,1.20429,0.76855,0.45334,2.99889,0.51519,0.19794,0.0001,59.60406
73,1.19481,0.76855,0.45334,3.43733,0.51519,0.19794,0.0001,55.50462
74,1.20477,0.76855,0.45334,3.24299,0.51519,0.19794,0.0001,53.89490
75,1.20964,0.77843,0.45902,2.71505,0.55105,0.28449,0.0001,152.90521
76,1.15888,0.77843,0.45902,3.72610,0.55105,0.28449,0.0001,60.31988
77,1.17849,0.77843,0.45902,3.72443,0.55105,0.28449,0.0001,58.13965
78,1.16351,0.77843,0.45902,2.86243,0.55105,0.28449,0.0001,56.53926
79,1.16368,0.77843,0.45902,2.66126,0.55105,0.28449,0.0001,55.30750
80,1.17509,0.77958,0.46237,2.68848,0.54988,0.28941,0.0001,153.58465
81,1.15307,0.77958,0.46237,3.52974,0.54988,0.28941,0.0001,56.32228
82,1.16023,0.77958,0.46237,3.95110,0.54988,0.28941,0.0001,53.97432
83,1.14341,0.77958,0.46237,3.69877,0.54988,0.28941,0.0001,58.37140
84,1.14640,0.77958,0.46237,2.73477,0.54988,0.28941,0.0001,55.20309
85,1.14852,0.78772,0.47033,2.67591,0.55082,0.29479,0.0001,148.42037
86,1.15884,0.78772,0.47033,2.80789,0.55082,0.29479,0.0001,57.83343
87,1.12437,0.78772,0.47033,2.83367,0.55082,0.29479,0.0001,57.11728
88,1.19589,0.78772,0.47033,2.75660,0.55082,0.29479,0.0001,50.80385
89,1.12044,0.78772,0.47033,4.48875,0.55082,0.29479,0.0001,55.19175
90,1.14725,0.78563,0.46897,3.02780,0.51806,0.20501,0.0001,151.63357
91,1.14544,0.78563,0.46897,2.85478,0.51806,0.20501,1e-05,50.73920
92,1.12350,0.78563,0.46897,2.72927,0.51806,0.20501,1e-05,58.84931
93,1.18371,0.78563,0.46897,3.11679,0.51806,0.20501,1e-05,49.99639
94,1.12709,0.78563,0.46897,3.36324,0.51806,0.20501,1e-05,54.51983
95,1.12212,0.79230,0.47687,3.59237,0.46959,0.12663,1e-05,150.07558
96,1.10085,0.79230,0.47687,2.65949,0.46959,0.12663,1e-05,56.33796
97,1.10513,0.79230,0.47687,2.84437,0.46959,0.12663,1e-05,60.66522
98,1.10815,0.79230,0.47687,2.68154,0.46959,0.12663,1e-05,55.09956
99,1.10396,0.79230,0.47687,2.81835,0.46959,0.12663,1e-05,57.89974
100,1.10868,0.79506,0.47715,2.71138,0.54849,0.28158,1e-05,154.97980
101,1.12716,0.79506,0.47715,2.73352,0.54849,0.28158,1e-05,56.10148
102,1.11025,0.79506,0.47715,3.34518,0.54849,0.28158,1e-05,58.96603
103,1.06460,0.79506,0.47715,3.33956,0.54849,0.28158,1e-05,56.89226
104,1.18156,0.79506,0.47715,3.53729,0.54849,0.28158,1e-05,47.10911
105,1.09052,0.79917,0.48290,3.25751,0.50008,0.16679,1e-05,157.20425
106,1.10188,0.79917,0.48290,3.20353,0.50008,0.16679,1e-05,57.05150
107,1.12050,0.79917,0.48290,2.67372,0.50008,0.16679,1e-05,55.89080
108,1.17615,0.79917,0.48290,2.96126,0.50008,0.16679,1e-05,49.57948
109,1.14138,0.79917,0.48290,2.74836,0.50008,0.16679,1e-05,51.08020
110,1.17294,0.77924,0.46586,3.99770,0.39593,0.08266,1e-05,146.87821
111,1.10098,0.77924,0.46586,4.13701,0.39593,0.08266,1e-05,59.38932
112,1.10539,0.77924,0.46586,2.86597,0.39593,0.08266,1e-05,56.47967
113,1.05546,0.77924,0.46586,4.10467,0.39593,0.08266,1e-05,57.79131
114,1.07386,0.77924,0.46586,2.66297,0.39593,0.08266,1e-05,56.49925
115,1.11532,0.79206,0.47667,2.67065,0.55280,0.29588,1e-05,148.82213
116,1.07239,0.79206,0.47667,2.87511,0.55280,0.29588,1e-05,57.86035
117,1.11922,0.79206,0.47667,2.69438,0.55280,0.29588,1e-05,55.01651
118,1.09584,0.79206,0.47667,3.56380,0.55280,0.29588,1e-05,53.61698
119,1.06768,0.79206,0.47667,3.99576,0.55280,0.29588,1e-05,61.71557
120,1.11258,0.79268,0.47677,3.06889,0.51085,0.19449,1e-05,151.91423
121,1.12846,0.79268,0.47677,3.34633,0.51085,0.19449,1e-05,54.31942
122,1.06986,0.79268,0.47677,4.13753,0.51085,0.19449,1e-05,59.36581
123,1.11377,0.79268,0.47677,2.72232,0.51085,0.19449,1e-05,53.43297
124,1.14605,0.79268,0.47677,2.73255,0.51085,0.19449,1e-05,54.99531
125,1.12635,0.78840,0.47300,2.92506,0.53942,0.23802,1e-05,149.83714
126,1.08730,0.78840,0.47300,2.76142,0.53942,0.23802,1e-05,56.53934
127,1.09171,0.78840,0.47300,3.00446,0.53942,0.23802,1e-05,54.64553
128,1.07888,0.78840,0.47300,2.74286,0.53942,0.23802,1e-05,57.49065
129,1.07533,0.78840,0.47300,4.70216,0.53942,0.23802,1e-05,55.72196
130,1.09403,0.79681,0.47983,3.01146,0.52621,0.21080,1e-05,153.35589
131,1.04620,0.79681,0.47983,2.82344,0.52621,0.21080,1e-05,56.07401
132,1.10615,0.79681,0.47983,2.93216,0.52621,0.21080,1e-05,51.11418
133,1.09352,0.79681,0.47983,2.67705,0.52621,0.21080,1e-05,54.35383
134,1.17231,0.79681,0.47983,3.06406,0.52621,0.21080,1e-05,51.39899
135,1.07282,0.79919,0.48289,3.25941,0.50579,0.17052,1e-05,153.65523
136,1.06506,0.79919,0.48289,2.82052,0.50579,0.17052,1e-05,59.58000
137,1.08707,0.79919,0.48289,3.04661,0.50579,0.17052,1e-05,53.35000
138,1.14938,0.79919,0.48289,2.76517,0.50579,0.17052,1e-05,48.89335
139,1.09017,0.79919,0.48289,3.09730,0.50579,0.17052,1e-05,56.48370
140,1.07178,0.79958,0.48300,2.86805,0.53874,0.24048,1e-05,150.14118
141,1.10105,0.79958,0.48300,3.42802,0.53874,0.24048,1e-05,56.63255
142,1.07444,0.79958,0.48300,2.66371,0.53874,0.24048,1e-05,58.95371
143,1.06176,0.79958,0.48300,2.93553,0.53874,0.24048,1e-05,60.45596
144,1.10366,0.79958,0.48300,2.66741,0.53874,0.24048,1e-05,51.45679
145,1.05578,0.80382,0.48844,2.78014,0.54218,0.25983,1e-05,158.71563
146,1.11277,0.80382,0.48844,3.06180,0.54218,0.25983,1e-05,51.77627
147,1.05575,0.80382,0.48844,2.70816,0.54218,0.25983,1e-05,58.77005
148,1.07997,0.80382,0.48844,2.68272,0.54218,0.25983,1e-05,59.40569
149,1.05544,0.80382,0.48844,2.66518,0.54218,0.25983,1e-05,55.05402
150,1.10762,0.79296,0.47720,2.74182,0.54492,0.27079,1e-05,152.23244
151,1.08431,0.79296,0.47720,3.01558,0.54492,0.27079,1e-05,52.75410
152,1.05220,0.79296,0.47720,4.30555,0.54492,0.27079,1e-05,61.90952
153,1.06229,0.79296,0.47720,3.80636,0.54492,0.27079,1e-05,55.29363
154,1.12894,0.79296,0.47720,2.90312,0.54492,0.27079,1e-05,51.25353
155,1.14316,0.78603,0.47003,2.70837,0.55173,0.28411,1e-05,146.44575
156,1.10805,0.78603,0.47003,3.02522,0.55173,0.28411,1e-05,55.79143
157,1.07002,0.78603,0.47003,2.93986,0.55173,0.28411,1e-05,51.54848
158,1.08922,0.78603,0.47003,4.53749,0.55173,0.28411,1e-05,53.92333
159,1.08185,0.78603,0.47003,3.14121,0.55173,0.28411,1e-05,53.44732
160,1.08787,0.79537,0.48017,3.75157,0.44248,0.10761,1e-05,152.19801
